PNG	Name	SpT	SpT2	RB
 	 	 	 	
-----------	----------------------	--------------------------------------	------------------------------	-------
           	KPD 0005+5106         	DO                                    	                              	
           	PG 0108+101           	DO                                    	                              	
           	PG 0109+111           	DO                                    	                              	
           	RWT 152               	sdO                                   	O4-5 V                        	
           	PG 1034+001           	DO                                    	                              	
           	PG 1520+525           	PG 1159                               	                              	
           	He 2-139              	B[e]                                  	                              	
           	PM 1-322              	symbiotic star?                       	                              	
           	BD+28 4211            	O(H)                                  	                              	
000.0-06.8 	H 1-62                	emission-line                         	                              	
000.1+17.2 	PC 12                 	OB                                    	                              	
000.3+12.2 	IC 4634               	emission-line                         	                              	
000.4+04.4 	K 5-1                 	wels                                  	                              	
000.4-01.9 	M 2-20                	[WC5-6]                               	                              	
000.7+08.0 	MPA 1717-2356         	Blue                                  	                              	
000.7+04.7 	H 2-11                	wels                                  	                              	
000.7-02.7 	M 2-21                	wels                                  	                              	
000.9-02.0 	Bl 2-13               	wels                                  	                              	
001.2-03.0 	H 1-47                	[WC11]?                               	                              	
001.5-06.7 	SwSt 1                	[WC9]pec                              	                              	
001.7-04.4 	H 1-55                	[WC11]                                	                              	
001.7-04.6 	H 1-56                	wels                                  	                              	
002.0-06.2 	M 2-33                	O5f(H)                                	wels                          	
002.0-13.4 	IC 4776               	wels                                  	                              	
002.1-02.2 	M 3-20                	Of                                    	wels?                         	
002.2-02.7 	M 2-23                	Of                                    	                              	
002.2-06.3 	H 1-63                	OB?                                   	                              	
002.2-09.4 	Cn 1-5                	[WO4]pec                              	                              	
002.4+05.8 	NGC 6369              	[WO3]                                 	                              	
002.4-03.7 	M 1-38                	O                                     	[WC11]                        	
002.6+05.5 	K 5-3                 	[WC4]                                 	                              	
002.6+08.1 	H 1-11                	wels                                  	                              	
002.6-03.4 	M 1-37                	[WC11]?                               	peculiar                      	
002.7-52.4 	IC 5148               	hgO(H)                                	                              	
003.1+02.9 	Hb 4                  	[WO3]                                 	                              	
003.2-04.4 	KFL 12                	wels                                  	                              	
003.3-04.6 	Ap 1-12               	[WC11]?                               	                              	
003.4-04.8 	H 2-43                	symbiotic star?                       	wels?                         	
003.6+03.1 	M 2-14                	wels                                  	                              	
003.7-04.6 	M 2-30                	wels                                  	                              	
003.9-14.9 	Hb 7                  	O3                                    	wels                          	
004.0-03.0 	M 2-29                	H-poor                                	                              	
004.2-04.3 	H 1-60                	wels                                  	                              	
004.6+06.0 	He 2-244              	wels                                  	                              	
004.8-22.7 	He 2-436              	[WC4]                                 	                              	
004.9+04.9 	M 1-25                	[WC5-6]                               	                              	
004.9-04.9 	M 1-44                	symbiotic star?                       	K2III                         	bc-CSPN
005.9-02.6 	MaC 1-10              	[WC8]                                 	                              	
006.0-03.6 	M 2-31                	[WC4]                                 	                              	
006.0-41.9 	PaRu 1-1              	O(H)                                  	                              	
006.3+04.4 	H 2-18                	Of?                                   	                              	
006.4+02.0 	M 1-31                	wels                                  	                              	
006.5-03.1 	H 1-61                	wels                                  	                              	
006.7-02.2 	M 1-41                	(WN) ?                                	                              	
006.8+04.1 	M 3-15                	[WC4]                                 	                              	
006.8-19.8 	WRAY 16-423           	[WC4-6]/wels                          	                              	
